Date;Time;State;Power;Temp
2022-03-16;15:24:22;ON;114.22;42
2022-03-16;15:25:22;ON;114.22;42
2022-03-16;15:26:22;ON;114.22;42
2022-03-16;15:27:22;ON;114.22;42
2022-03-16;15:28:22;ON;114.22;42
2022-03-16;15:29:22;ON;114.22;42
2022-03-16;15:30:22;ON;114.22;42
2022-03-16;15:31:22;ON;114.22;42
2022-03-16;15:32:22;ON;114.22;42
2022-03-16;15:33:22;ON;114.22;42
2022-03-16;15:34:22;ON;114.22;42
2022-03-16;15:35:22;ON;114.22;42
2022-03-16;15:36:22;ON;114.22;42
2022-03-16;15:37:22;ON;114.22;42
2022-03-16;15:38:22;ON;114.22;42
2022-03-16;15:39:22;ON;114.22;42
2022-03-16;15:40:22;ON;114.22;42
2022-03-16;15:41:22;ON;114.22;42
2022-03-16;15:42:22;ON;114.22;42
2022-03-16;15:43:22;ON;114.22;42
2022-03-16;15:44:22;ON;114.22;42
2022-03-16;15:45:22;ON;114.22;42
2022-03-16;15:46:22;ON;114.22;42
2022-03-16;15:47:22;ON;114.22;42
2022-03-16;15:48:22;ON;114.22;42
2022-03-16;15:49:22;ON;114.22;42
2022-03-16;15:50:22;ON;114.22;42
2022-03-16;15:51:22;ON;114.22;42
2022-03-16;15:52:22;ON;114.22;42
2022-03-16;15:53:22;ON;114.22;42
2022-03-16;15:54:22;ON;114.22;42
2022-03-16;15:55:22;ON;114.22;42
2022-03-16;15:56:22;ON;114.22;42
2022-03-16;15:57:22;ON;114.22;42
2022-03-16;15:58:22;ON;114.22;42
2022-03-16;15:59:22;ON;114.22;42
2022-03-16;16:00:22;ON;114.22;42
2022-03-16;16:01:22;ON;114.22;42
2022-03-16;16:02:22;ON;114.22;42
2022-03-16;16:03:22;ON;114.22;42
2022-03-16;16:04:22;ON;114.22;42
2022-03-16;16:05:22;ON;114.22;42
2022-03-16;16:06:22;ON;114.22;42
2022-03-16;16:07:22;ON;114.22;42
2022-03-16;16:08:22;ON;114.22;42
2022-03-16;16:09:22;ON;114.22;42
2022-03-16;16:10:22;ON;114.22;42
2022-03-16;16:11:22;ON;114.22;42
2022-03-16;16:12:22;ON;114.22;42
2022-03-16;16:13:22;ON;114.22;42
2022-03-16;16:14:22;ON;114.22;42
2022-03-16;16:15:22;ON;114.22;42
2022-03-16;16:16:22;ON;114.22;42
2022-03-16;16:17:22;ON;114.22;42
2022-03-16;16:18:22;ON;114.22;42
2022-03-16;16:19:22;ON;114.22;42
2022-03-16;16:20:22;ON;114.22;42
2022-03-16;16:21:22;ON;114.22;42
2022-03-16;16:22:22;ON;114.22;42
2022-03-16;16:23:22;ON;114.22;42
2022-03-16;16:24:22;ON;114.22;42
2022-03-16;16:25:22;ON;114.22;42
2022-03-16;16:26:22;ON;114.22;42
2022-03-16;16:27:22;ON;114.22;42
2022-03-16;16:28:22;ON;114.22;42
2022-03-16;16:29:22;ON;114.22;42
2022-03-16;16:30:22;ON;114.22;42
2022-03-16;16:31:22;ON;114.22;42
2022-03-16;16:32:22;ON;114.22;42
2022-03-16;16:33:22;ON;114.22;42
2022-03-16;16:34:22;ON;114.22;42
2022-03-16;16:35:22;ON;114.22;42
2022-03-16;16:36:22;ON;114.22;42
2022-03-16;16:37:22;ON;114.22;42
2022-03-16;16:38:22;ON;114.22;42
2022-03-16;16:39:22;ON;114.22;42
2022-03-16;16:40:22;ON;114.22;42
2022-03-16;16:41:22;ON;114.22;42
2022-03-16;16:42:22;ON;114.22;42
2022-03-16;16:43:22;ON;114.22;42
2022-03-16;16:44:22;ON;114.22;42
2022-03-16;16:45:22;ON;114.22;42
2022-03-16;16:46:22;ON;114.22;42
